FIPSCode,LocationType,Location,ParentCounty,TypeofSchool,StaffResponse,TimeFrame,DataFormat,Data
06622920,School District,Los Olivos Elementary,Santa Barbara County,High School,Nearly All Students,2013_2015,Percent,N_A
06622920,School District,Los Olivos Elementary,Santa Barbara County,High School,Most Students,2013_2015,Percent,N_A
06622920,School District,Los Olivos Elementary,Santa Barbara County,High School,Some Students,2013_2015,Percent,N_A
06622920,School District,Los Olivos Elementary,Santa Barbara County,High School,Few Students,2013_2015,Percent,N_A
06622920,School District,Los Olivos Elementary,Santa Barbara County,High School,Almost No Students,2013_2015,Percent,N_A
06628710,School District,Orcutt Union Elementary,Santa Barbara County,High School,Nearly All Students,2011_2013,Percent,26.9
06628710,School District,Orcutt Union Elementary,Santa Barbara County,High School,Most Students,2011_2013,Percent,67.9
06628710,School District,Orcutt Union Elementary,Santa Barbara County,High School,Some Students,2011_2013,Percent,5.2
06628710,School District,Orcutt Union Elementary,Santa Barbara County,High School,Few Students,2011_2013,Percent,0.0
06628710,School District,Orcutt Union Elementary,Santa Barbara County,High School,Almost No Students,2011_2013,Percent,0.0
06628710,School District,Orcutt Union Elementary,Santa Barbara County,High School,Nearly All Students,2013_2015,Percent,3.8
06628710,School District,Orcutt Union Elementary,Santa Barbara County,High School,Most Students,2013_2015,Percent,76.9
06628710,School District,Orcutt Union Elementary,Santa Barbara County,High School,Some Students,2013_2015,Percent,15.4
06628710,School District,Orcutt Union Elementary,Santa Barbara County,High School,Few Students,2013_2015,Percent,3.8
06628710,School District,Orcutt Union Elementary,Santa Barbara County,High School,Almost No Students,2013_2015,Percent,0.0
06635670,School District,Santa Maria Joint Union High,Santa Barbara County,High School,Nearly All Students,2011_2013,Percent,4.2
06635670,School District,Santa Maria Joint Union High,Santa Barbara County,High School,Most Students,2011_2013,Percent,40.7
06635670,School District,Santa Maria Joint Union High,Santa Barbara County,High School,Some Students,2011_2013,Percent,51.4
06635670,School District,Santa Maria Joint Union High,Santa Barbara County,High School,Few Students,2011_2013,Percent,3.6
06635670,School District,Santa Maria Joint Union High,Santa Barbara County,High School,Almost No Students,2011_2013,Percent,0.0
06635670,School District,Santa Maria Joint Union High,Santa Barbara County,High School,Nearly All Students,2013_2015,Percent,4.9
06635670,School District,Santa Maria Joint Union High,Santa Barbara County,High School,Most Students,2013_2015,Percent,41.6
06635670,School District,Santa Maria Joint Union High,Santa Barbara County,High School,Some Students,2013_2015,Percent,50.3
06635670,School District,Santa Maria Joint Union High,Santa Barbara County,High School,Few Students,2013_2015,Percent,3.2
06635670,School District,Santa Maria Joint Union High,Santa Barbara County,High School,Almost No Students,2013_2015,Percent,0.0
06635850,School District,Santa Ynez Valley Union High,Santa Barbara County,High School,Nearly All Students,2011_2013,Percent,7.0
06635850,School District,Santa Ynez Valley Union High,Santa Barbara County,High School,Most Students,2011_2013,Percent,80.7
06635850,School District,Santa Ynez Valley Union High,Santa Barbara County,High School,Some Students,2011_2013,Percent,12.3
06635850,School District,Santa Ynez Valley Union High,Santa Barbara County,High School,Few Students,2011_2013,Percent,0.0
06635850,School District,Santa Ynez Valley Union High,Santa Barbara County,High School,Almost No Students,2011_2013,Percent,0.0
06635850,School District,Santa Ynez Valley Union High,Santa Barbara County,High School,Nearly All Students,2013_2015,Percent,7.3
06635850,School District,Santa Ynez Valley Union High,Santa Barbara County,High School,Most Students,2013_2015,Percent,80.0
06635850,School District,Santa Ynez Valley Union High,Santa Barbara County,High School,Some Students,2013_2015,Percent,12.7
06635850,School District,Santa Ynez Valley Union High,Santa Barbara County,High School,Few Students,2013_2015,Percent,0.0
06635850,School District,Santa Ynez Valley Union High,Santa Barbara County,High School,Almost No Students,2013_2015,Percent,0.0
06637110,School District,Solvang Elementary,Santa Barbara County,High School,Nearly All Students,2013_2015,Percent,N_A
06637110,School District,Solvang Elementary,Santa Barbara County,High School,Most Students,2013_2015,Percent,N_A
06637110,School District,Solvang Elementary,Santa Barbara County,High School,Some Students,2013_2015,Percent,N_A
06637110,School District,Solvang Elementary,Santa Barbara County,High School,Few Students,2013_2015,Percent,N_A
06637110,School District,Solvang Elementary,Santa Barbara County,High School,Almost No Students,2013_2015,Percent,N_A
06641220,School District,Vista del Mar Union,Santa Barbara County,High School,Nearly All Students,2011_2013,Percent,N_A
06641220,School District,Vista del Mar Union,Santa Barbara County,High School,Most Students,2011_2013,Percent,N_A
06641220,School District,Vista del Mar Union,Santa Barbara County,High School,Some Students,2011_2013,Percent,N_A
06641220,School District,Vista del Mar Union,Santa Barbara County,High School,Few Students,2011_2013,Percent,N_A
06641220,School District,Vista del Mar Union,Santa Barbara County,High School,Almost No Students,2011_2013,Percent,N_A
06600009,School District,Cuyama Joint Unified,Santa Barbara County,High School,Nearly All Students,2013_2015,Percent,0.0
06600009,School District,Cuyama Joint Unified,Santa Barbara County,High School,Most Students,2013_2015,Percent,100.0
06600009,School District,Cuyama Joint Unified,Santa Barbara County,High School,Some Students,2013_2015,Percent,0.0
06600009,School District,Cuyama Joint Unified,Santa Barbara County,High School,Few Students,2013_2015,Percent,0.0
06600009,School District,Cuyama Joint Unified,Santa Barbara County,High School,Almost No Students,2013_2015,Percent,0.0
06601414,School District,Santa Barbara Unified,Santa Barbara County,High School,Nearly All Students,2013_2015,Percent,6.8
06601414,School District,Santa Barbara Unified,Santa Barbara County,High School,Most Students,2013_2015,Percent,51.0
06601414,School District,Santa Barbara Unified,Santa Barbara County,High School,Some Students,2013_2015,Percent,40.5
06601414,School District,Santa Barbara Unified,Santa Barbara County,High School,Few Students,2013_2015,Percent,1.1
06601414,School District,Santa Barbara Unified,Santa Barbara County,High School,Almost No Students,2013_2015,Percent,0.6
06085,County,Santa Clara County,,High School,Nearly All Students,2011_2013,Percent,S
06085,County,Santa Clara County,,High School,Most Students,2011_2013,Percent,S
06085,County,Santa Clara County,,High School,Some Students,2011_2013,Percent,S
06085,County,Santa Clara County,,High School,Few Students,2011_2013,Percent,S
06085,County,Santa Clara County,,High School,Almost No Students,2011_2013,Percent,S
06085,County,Santa Clara County,,High School,Nearly All Students,2013_2015,Percent,S
06085,County,Santa Clara County,,High School,Most Students,2013_2015,Percent,S
06085,County,Santa Clara County,,High School,Some Students,2013_2015,Percent,S
06085,County,Santa Clara County,,High School,Few Students,2013_2015,Percent,S
06085,County,Santa Clara County,,High School,Almost No Students,2013_2015,Percent,S
06691035,School District,Santa Clara County Office of Education,Santa Clara County,High School,Nearly All Students,2013_2015,Percent,S
06691035,School District,Santa Clara County Office of Education,Santa Clara County,High School,Most Students,2013_2015,Percent,S
06691035,School District,Santa Clara County Office of Education,Santa Clara County,High School,Some Students,2013_2015,Percent,S
06691035,School District,Santa Clara County Office of Education,Santa Clara County,High School,Few Students,2013_2015,Percent,S
06691035,School District,Santa Clara County Office of Education,Santa Clara County,High School,Almost No Students,2013_2015,Percent,S
06604800,School District,Berryessa Union Elementary,Santa Clara County,High School,Nearly All Students,2011_2013,Percent,N_A
06604800,School District,Berryessa Union Elementary,Santa Clara County,High School,Most Students,2011_2013,Percent,N_A
06604800,School District,Berryessa Union Elementary,Santa Clara County,High School,Some Students,2011_2013,Percent,N_A
06604800,School District,Berryessa Union Elementary,Santa Clara County,High School,Few Students,2011_2013,Percent,N_A
06604800,School District,Berryessa Union Elementary,Santa Clara County,High School,Almost No Students,2011_2013,Percent,N_A
06604800,School District,Berryessa Union Elementary,Santa Clara County,High School,Nearly All Students,2013_2015,Percent,N_A
06604800,School District,Berryessa Union Elementary,Santa Clara County,High School,Most Students,2013_2015,Percent,N_A
06604800,School District,Berryessa Union Elementary,Santa Clara County,High School,Some Students,2013_2015,Percent,N_A
06604800,School District,Berryessa Union Elementary,Santa Clara County,High School,Few Students,2013_2015,Percent,N_A
06604800,School District,Berryessa Union Elementary,Santa Clara County,High School,Almost No Students,2013_2015,Percent,N_A
06607200,School District,Campbell Union,Santa Clara County,High School,Nearly All Students,2013_2015,Percent,N_A
06607200,School District,Campbell Union,Santa Clara County,High School,Most Students,2013_2015,Percent,N_A
06607200,School District,Campbell Union,Santa Clara County,High School,Some Students,2013_2015,Percent,N_A
06607200,School District,Campbell Union,Santa Clara County,High School,Few Students,2013_2015,Percent,N_A
06607200,School District,Campbell Union,Santa Clara County,High School,Almost No Students,2013_2015,Percent,N_A
06611820,School District,East Side Union High,Santa Clara County,High School,Nearly All Students,2013_2015,Percent,7.1
06611820,School District,East Side Union High,Santa Clara County,High School,Most Students,2013_2015,Percent,51.9
06611820,School District,East Side Union High,Santa Clara County,High School,Some Students,2013_2015,Percent,35.6
06611820,School District,East Side Union High,Santa Clara County,High School,Few Students,2013_2015,Percent,5.0
06611820,School District,East Side Union High,Santa Clara County,High School,Almost No Students,2013_2015,Percent,0.4
06614370,School District,Franklin_McKinley Elementary,Santa Clara County,High School,Nearly All Students,2013_2015,Percent,N_A
06614370,School District,Franklin_McKinley Elementary,Santa Clara County,High School,Most Students,2013_2015,Percent,N_A
06614370,School District,Franklin_McKinley Elementary,Santa Clara County,High School,Some Students,2013_2015,Percent,N_A
06614370,School District,Franklin_McKinley Elementary,Santa Clara County,High School,Few Students,2013_2015,Percent,N_A
06614370,School District,Franklin_McKinley Elementary,Santa Clara County,High School,Almost No Students,2013_2015,Percent,N_A
06615180,School District,Gilroy Unified,Santa Clara County,High School,Nearly All Students,2013_2015,Percent,S
06615180,School District,Gilroy Unified,Santa Clara County,High School,Most Students,2013_2015,Percent,S
06615180,School District,Gilroy Unified,Santa Clara County,High School,Some Students,2013_2015,Percent,S
06615180,School District,Gilroy Unified,Santa Clara County,High School,Few Students,2013_2015,Percent,S
06615180,School District,Gilroy Unified,Santa Clara County,High School,Almost No Students,2013_2015,Percent,S
06620700,School District,Lakeside Joint,Santa Clara County,High School,Nearly All Students,2013_2015,Percent,N_A
06620700,School District,Lakeside Joint,Santa Clara County,High School,Most Students,2013_2015,Percent,N_A
06620700,School District,Lakeside Joint,Santa Clara County,High School,Some Students,2013_2015,Percent,N_A
06620700,School District,Lakeside Joint,Santa Clara County,High School,Few Students,2013_2015,Percent,N_A
06620700,School District,Lakeside Joint,Santa Clara County,High School,Almost No Students,2013_2015,Percent,N_A
06622650,School District,Los Altos Elementary,Santa Clara County,High School,Nearly All Students,2011_2013,Percent,N_A
06622650,School District,Los Altos Elementary,Santa Clara County,High School,Most Students,2011_2013,Percent,N_A
06622650,School District,Los Altos Elementary,Santa Clara County,High School,Some Students,2011_2013,Percent,N_A
06622650,School District,Los Altos Elementary,Santa Clara County,High School,Few Students,2011_2013,Percent,N_A
06622650,School District,Los Altos Elementary,Santa Clara County,High School,Almost No Students,2011_2013,Percent,N_A
06626280,School District,Mountain View Whisman,Santa Clara County,High School,Nearly All Students,2011_2013,Percent,N_A
06626280,School District,Mountain View Whisman,Santa Clara County,High School,Most Students,2011_2013,Percent,N_A
06626280,School District,Mountain View Whisman,Santa Clara County,High School,Some Students,2011_2013,Percent,N_A
06626280,School District,Mountain View Whisman,Santa Clara County,High School,Few Students,2011_2013,Percent,N_A
06626280,School District,Mountain View Whisman,Santa Clara County,High School,Almost No Students,2011_2013,Percent,N_A
06626280,School District,Mountain View Whisman,Santa Clara County,High School,Nearly All Students,2013_2015,Percent,N_A
06626280,School District,Mountain View Whisman,Santa Clara County,High School,Most Students,2013_2015,Percent,N_A
06626280,School District,Mountain View Whisman,Santa Clara County,High School,Some Students,2013_2015,Percent,N_A
06626280,School District,Mountain View Whisman,Santa Clara County,High School,Few Students,2013_2015,Percent,N_A
06626280,School District,Mountain View Whisman,Santa Clara County,High School,Almost No Students,2013_2015,Percent,N_A
06626400,School District,Mount Pleasant Elementary,Santa Clara County,High School,Nearly All Students,2011_2013,Percent,N_A
06626400,School District,Mount Pleasant Elementary,Santa Clara County,High School,Most Students,2011_2013,Percent,N_A
06626400,School District,Mount Pleasant Elementary,Santa Clara County,High School,Some Students,2011_2013,Percent,N_A
06626400,School District,Mount Pleasant Elementary,Santa Clara County,High School,Few Students,2011_2013,Percent,N_A
06626400,School District,Mount Pleasant Elementary,Santa Clara County,High School,Almost No Students,2011_2013,Percent,N_A
06626400,School District,Mount Pleasant Elementary,Santa Clara County,High School,Nearly All Students,2013_2015,Percent,N_A
06626400,School District,Mount Pleasant Elementary,Santa Clara County,High School,Most Students,2013_2015,Percent,N_A
06626400,School District,Mount Pleasant Elementary,Santa Clara County,High School,Some Students,2013_2015,Percent,N_A
06626400,School District,Mount Pleasant Elementary,Santa Clara County,High School,Few Students,2013_2015,Percent,N_A
06626400,School District,Mount Pleasant Elementary,Santa Clara County,High School,Almost No Students,2013_2015,Percent,N_A
06627810,School District,Oak Grove Elementary,Santa Clara County,High School,Nearly All Students,2013_2015,Percent,N_A
06627810,School District,Oak Grove Elementary,Santa Clara County,High School,Most Students,2013_2015,Percent,N_A
06627810,School District,Oak Grove Elementary,Santa Clara County,High School,Some Students,2013_2015,Percent,N_A
06627810,School District,Oak Grove Elementary,Santa Clara County,High School,Few Students,2013_2015,Percent,N_A
06627810,School District,Oak Grove Elementary,Santa Clara County,High School,Almost No Students,2013_2015,Percent,N_A
06635430,School District,Santa Clara Unified,Santa Clara County,High School,Nearly All Students,2011_2013,Percent,3.7
06635430,School District,Santa Clara Unified,Santa Clara County,High School,Most Students,2011_2013,Percent,49.3
06635430,School District,Santa Clara Unified,Santa Clara County,High School,Some Students,2011_2013,Percent,44.1
06635430,School District,Santa Clara Unified,Santa Clara County,High School,Few Students,2011_2013,Percent,2.9
06635430,School District,Santa Clara Unified,Santa Clara County,High School,Almost No Students,2011_2013,Percent,0.0
06635430,School District,Santa Clara Unified,Santa Clara County,High School,Nearly All Students,2013_2015,Percent,4.0
06635430,School District,Santa Clara Unified,Santa Clara County,High School,Most Students,2013_2015,Percent,52.5
06635430,School District,Santa Clara Unified,Santa Clara County,High School,Some Students,2013_2015,Percent,40.0
06635430,School District,Santa Clara Unified,Santa Clara County,High School,Few Students,2013_2015,Percent,3.5
06635430,School District,Santa Clara Unified,Santa Clara County,High School,Almost No Students,2013_2015,Percent,0.0
06638460,School District,Sunnyvale,Santa Clara County,High School,Nearly All Students,2011_2013,Percent,N_A
06638460,School District,Sunnyvale,Santa Clara County,High School,Most Students,2011_2013,Percent,N_A
06638460,School District,Sunnyvale,Santa Clara County,High School,Some Students,2011_2013,Percent,N_A
06638460,School District,Sunnyvale,Santa Clara County,High School,Few Students,2011_2013,Percent,N_A
06638460,School District,Sunnyvale,Santa Clara County,High School,Almost No Students,2011_2013,Percent,N_A
06638460,School District,Sunnyvale,Santa Clara County,High School,Nearly All Students,2013_2015,Percent,N_A
06638460,School District,Sunnyvale,Santa Clara County,High School,Most Students,2013_2015,Percent,N_A
06638460,School District,Sunnyvale,Santa Clara County,High School,Some Students,2013_2015,Percent,N_A
06638460,School District,Sunnyvale,Santa Clara County,High School,Few Students,2013_2015,Percent,N_A
06638460,School District,Sunnyvale,Santa Clara County,High School,Almost No Students,2013_2015,Percent,N_A
06640320,School District,Union Elementary,Santa Clara County,High School,Nearly All Students,2011_2013,Percent,N_A
06640320,School District,Union Elementary,Santa Clara County,High School,Most Students,2011_2013,Percent,N_A
06640320,School District,Union Elementary,Santa Clara County,High School,Some Students,2011_2013,Percent,N_A
06640320,School District,Union Elementary,Santa Clara County,High School,Few Students,2011_2013,Percent,N_A
06640320,School District,Union Elementary,Santa Clara County,High School,Almost No Students,2011_2013,Percent,N_A
06624500,School District,Milpitas Unified,Santa Clara County,High School,Nearly All Students,2013_2015,Percent,8.0
06624500,School District,Milpitas Unified,Santa Clara County,High School,Most Students,2013_2015,Percent,55.7
06624500,School District,Milpitas Unified,Santa Clara County,High School,Some Students,2013_2015,Percent,35.2
06624500,School District,Milpitas Unified,Santa Clara County,High School,Few Students,2013_2015,Percent,1.1
06624500,School District,Milpitas Unified,Santa Clara County,High School,Almost No Students,2013_2015,Percent,0.0
06087,County,Santa Cruz County,,High School,Nearly All Students,2011_2013,Percent,S
06087,County,Santa Cruz County,,High School,Most Students,2011_2013,Percent,S
06087,County,Santa Cruz County,,High School,Some Students,2011_2013,Percent,S
06087,County,Santa Cruz County,,High School,Few Students,2011_2013,Percent,S
06087,County,Santa Cruz County,,High School,Almost No Students,2011_2013,Percent,S
06087,County,Santa Cruz County,,High School,Nearly All Students,2013_2015,Percent,S
06087,County,Santa Cruz County,,High School,Most Students,2013_2015,Percent,S
06087,County,Santa Cruz County,,High School,Some Students,2013_2015,Percent,S
06087,County,Santa Cruz County,,High School,Few Students,2013_2015,Percent,S
06087,County,Santa Cruz County,,High School,Almost No Students,2013_2015,Percent,S
06691036,School District,Santa Cruz County Office of Education,Santa Cruz County,High School,Nearly All Students,2013_2015,Percent,N_A
06691036,School District,Santa Cruz County Office of Education,Santa Cruz County,High School,Most Students,2013_2015,Percent,N_A
06691036,School District,Santa Cruz County Office of Education,Santa Cruz County,High School,Some Students,2013_2015,Percent,N_A
06691036,School District,Santa Cruz County Office of Education,Santa Cruz County,High School,Few Students,2013_2015,Percent,N_A
06691036,School District,Santa Cruz County Office of Education,Santa Cruz County,High School,Almost No Students,2013_2015,Percent,N_A
06629490,School District,Pajaro Valley Unified,Santa Cruz County,High School,Nearly All Students,2011_2013,Percent,S
06629490,School District,Pajaro Valley Unified,Santa Cruz County,High School,Most Students,2011_2013,Percent,S
06629490,School District,Pajaro Valley Unified,Santa Cruz County,High School,Some Students,2011_2013,Percent,S
06629490,School District,Pajaro Valley Unified,Santa Cruz County,High School,Few Students,2011_2013,Percent,S
06629490,School District,Pajaro Valley Unified,Santa Cruz County,High School,Almost No Students,2011_2013,Percent,S
06634740,School District,San Lorenzo Valley Unified,Santa Cruz County,High School,Nearly All Students,2013_2015,Percent,N_A
06634740,School District,San Lorenzo Valley Unified,Santa Cruz County,High School,Most Students,2013_2015,Percent,N_A
06634740,School District,San Lorenzo Valley Unified,Santa Cruz County,High School,Some Students,2013_2015,Percent,N_A
06634740,School District,San Lorenzo Valley Unified,Santa Cruz County,High School,Few Students,2013_2015,Percent,N_A
06634740,School District,San Lorenzo Valley Unified,Santa Cruz County,High School,Almost No Students,2013_2015,Percent,N_A
06635590,School District,Santa Cruz City Elementary,Santa Cruz County,High School,Nearly All Students,2011_2013,Percent,N_A
06635590,School District,Santa Cruz City Elementary,Santa Cruz County,High School,Most Students,2011_2013,Percent,N_A
06635590,School District,Santa Cruz City Elementary,Santa Cruz County,High School,Some Students,2011_2013,Percent,N_A
06635590,School District,Santa Cruz City Elementary,Santa Cruz County,High School,Few Students,2011_2013,Percent,N_A
06635590,School District,Santa Cruz City Elementary,Santa Cruz County,High School,Almost No Students,2011_2013,Percent,N_A
06635600,School District,Santa Cruz City High,Santa Cruz County,High School,Nearly All Students,2013_2015,Percent,S
06635600,School District,Santa Cruz City High,Santa Cruz County,High School,Most Students,2013_2015,Percent,S
06635600,School District,Santa Cruz City High,Santa Cruz County,High School,Some Students,2013_2015,Percent,S
06635600,School District,Santa Cruz City High,Santa Cruz County,High School,Few Students,2013_2015,Percent,S
06635600,School District,Santa Cruz City High,Santa Cruz County,High School,Almost No Students,2013_2015,Percent,S
06637290,School District,Soquel Union Elementary,Santa Cruz County,High School,Nearly All Students,2011_2013,Percent,N_A
06637290,School District,Soquel Union Elementary,Santa Cruz County,High School,Most Students,2011_2013,Percent,N_A
06637290,School District,Soquel Union Elementary,Santa Cruz County,High School,Some Students,2011_2013,Percent,N_A
06637290,School District,Soquel Union Elementary,Santa Cruz County,High School,Few Students,2011_2013,Percent,N_A
06637290,School District,Soquel Union Elementary,Santa Cruz County,High School,Almost No Students,2011_2013,Percent,N_A
06637290,School District,Soquel Union Elementary,Santa Cruz County,High School,Nearly All Students,2013_2015,Percent,N_A
06637290,School District,Soquel Union Elementary,Santa Cruz County,High School,Most Students,2013_2015,Percent,N_A
06637290,School District,Soquel Union Elementary,Santa Cruz County,High School,Some Students,2013_2015,Percent,N_A
06637290,School District,Soquel Union Elementary,Santa Cruz County,High School,Few Students,2013_2015,Percent,N_A
06637290,School District,Soquel Union Elementary,Santa Cruz County,High School,Almost No Students,2013_2015,Percent,N_A
06600043,School District,Scotts Valley Unified,Santa Cruz County,High School,Nearly All Students,2011_2013,Percent,26.7
06600043,School District,Scotts Valley Unified,Santa Cruz County,High School,Most Students,2011_2013,Percent,60.0
06600043,School District,Scotts Valley Unified,Santa Cruz County,High School,Some Students,2011_2013,Percent,13.3
06600043,School District,Scotts Valley Unified,Santa Cruz County,High School,Few Students,2011_2013,Percent,0.0
06600043,School District,Scotts Valley Unified,Santa Cruz County,High School,Almost No Students,2011_2013,Percent,0.0
06089,County,Shasta County,,High School,Nearly All Students,2011_2013,Percent,S
06089,County,Shasta County,,High School,Most Students,2011_2013,Percent,S
06089,County,Shasta County,,High School,Some Students,2011_2013,Percent,S
06089,County,Shasta County,,High School,Few Students,2011_2013,Percent,S
06089,County,Shasta County,,High School,Almost No Students,2011_2013,Percent,S
06089,County,Shasta County,,High School,Nearly All Students,2013_2015,Percent,S
06089,County,Shasta County,,High School,Most Students,2013_2015,Percent,S
06089,County,Shasta County,,High School,Some Students,2013_2015,Percent,S
06089,County,Shasta County,,High School,Few Students,2013_2015,Percent,S
06089,County,Shasta County,,High School,Almost No Students,2013_2015,Percent,S
06691037,School District,Shasta County Office of Education,Shasta County,High School,Nearly All Students,2011_2013,Percent,N_A
06691037,School District,Shasta County Office of Education,Shasta County,High School,Most Students,2011_2013,Percent,N_A
06691037,School District,Shasta County Office of Education,Shasta County,High School,Some Students,2011_2013,Percent,N_A
06691037,School District,Shasta County Office of Education,Shasta County,High School,Few Students,2011_2013,Percent,N_A
06691037,School District,Shasta County Office of Education,Shasta County,High School,Almost No Students,2011_2013,Percent,N_A
06691037,School District,Shasta County Office of Education,Shasta County,High School,Nearly All Students,2013_2015,Percent,N_A
06691037,School District,Shasta County Office of Education,Shasta County,High School,Most Students,2013_2015,Percent,N_A
06691037,School District,Shasta County Office of Education,Shasta County,High School,Some Students,2013_2015,Percent,N_A
06691037,School District,Shasta County Office of Education,Shasta County,High School,Few Students,2013_2015,Percent,N_A
06691037,School District,Shasta County Office of Education,Shasta County,High School,Almost No Students,2013_2015,Percent,N_A
06604350,School District,Bella Vista Elementary,Shasta County,High School,Nearly All Students,2013_2015,Percent,N_A
06604350,School District,Bella Vista Elementary,Shasta County,High School,Most Students,2013_2015,Percent,N_A
06604350,School District,Bella Vista Elementary,Shasta County,High School,Some Students,2013_2015,Percent,N_A
06604350,School District,Bella Vista Elementary,Shasta County,High School,Few Students,2013_2015,Percent,N_A
06604350,School District,Bella Vista Elementary,Shasta County,High School,Almost No Students,2013_2015,Percent,N_A
06605220,School District,Black Butte Union Elementary,Shasta County,High School,Nearly All Students,2013_2015,Percent,N_A
06605220,School District,Black Butte Union Elementary,Shasta County,High School,Most Students,2013_2015,Percent,N_A
06605220,School District,Black Butte Union Elementary,Shasta County,High School,Some Students,2013_2015,Percent,N_A
06605220,School District,Black Butte Union Elementary,Shasta County,High School,Few Students,2013_2015,Percent,N_A
06605220,School District,Black Butte Union Elementary,Shasta County,High School,Almost No Students,2013_2015,Percent,N_A
06607680,School District,Cascade Union Elementary,Shasta County,High School,Nearly All Students,2011_2013,Percent,N_A
06607680,School District,Cascade Union Elementary,Shasta County,High School,Most Students,2011_2013,Percent,N_A
06607680,School District,Cascade Union Elementary,Shasta County,High School,Some Students,2011_2013,Percent,N_A
06607680,School District,Cascade Union Elementary,Shasta County,High School,Few Students,2011_2013,Percent,N_A
06607680,School District,Cascade Union Elementary,Shasta County,High School,Almost No Students,2011_2013,Percent,N_A
06607770,School District,Castle Rock Union Elementary,Shasta County,High School,Nearly All Students,2011_2013,Percent,N_A
06607770,School District,Castle Rock Union Elementary,Shasta County,High School,Most Students,2011_2013,Percent,N_A
06607770,School District,Castle Rock Union Elementary,Shasta County,High School,Some Students,2011_2013,Percent,N_A
06607770,School District,Castle Rock Union Elementary,Shasta County,High School,Few Students,2011_2013,Percent,N_A
06607770,School District,Castle Rock Union Elementary,Shasta County,High School,Almost No Students,2011_2013,Percent,N_A
06607770,School District,Castle Rock Union Elementary,Shasta County,High School,Nearly All Students,2013_2015,Percent,N_A
06607770,School District,Castle Rock Union Elementary,Shasta County,High School,Most Students,2013_2015,Percent,N_A
06607770,School District,Castle Rock Union Elementary,Shasta County,High School,Some Students,2013_2015,Percent,N_A
06607770,School District,Castle Rock Union Elementary,Shasta County,High School,Few Students,2013_2015,Percent,N_A
06607770,School District,Castle Rock Union Elementary,Shasta County,High School,Almost No Students,2013_2015,Percent,N_A
06613470,School District,Fall River Joint Unified,Shasta County,High School,Nearly All Students,2011_2013,Percent,7.1
06613470,School District,Fall River Joint Unified,Shasta County,High School,Most Students,2011_2013,Percent,69.0
06613470,School District,Fall River Joint Unified,Shasta County,High School,Some Students,2011_2013,Percent,23.8
06613470,School District,Fall River Joint Unified,Shasta County,High School,Few Students,2011_2013,Percent,0.0
06613470,School District,Fall River Joint Unified,Shasta County,High School,Almost No Students,2011_2013,Percent,0.0
06613470,School District,Fall River Joint Unified,Shasta County,High School,Nearly All Students,2013_2015,Percent,0.0
06613470,School District,Fall River Joint Unified,Shasta County,High School,Most Students,2013_2015,Percent,63.6
06613470,School District,Fall River Joint Unified,Shasta County,High School,Some Students,2013_2015,Percent,36.4
06613470,School District,Fall River Joint Unified,Shasta County,High School,Few Students,2013_2015,Percent,0.0
06613470,School District,Fall River Joint Unified,Shasta County,High School,Almost No Students,2013_2015,Percent,0.0
06619200,School District,Junction Elementary,Shasta County,High School,Nearly All Students,2011_2013,Percent,N_A
06619200,School District,Junction Elementary,Shasta County,High School,Most Students,2011_2013,Percent,N_A
06619200,School District,Junction Elementary,Shasta County,High School,Some Students,2011_2013,Percent,N_A
06619200,School District,Junction Elementary,Shasta County,High School,Few Students,2011_2013,Percent,N_A
06619200,School District,Junction Elementary,Shasta County,High School,Almost No Students,2011_2013,Percent,N_A
06619200,School District,Junction Elementary,Shasta County,High School,Nearly All Students,2013_2015,Percent,N_A
06619200,School District,Junction Elementary,Shasta County,High School,Most Students,2013_2015,Percent,N_A
06619200,School District,Junction Elementary,Shasta County,High School,Some Students,2013_2015,Percent,N_A
06619200,School District,Junction Elementary,Shasta County,High School,Few Students,2013_2015,Percent,N_A
06619200,School District,Junction Elementary,Shasta County,High School,Almost No Students,2013_2015,Percent,N_A
06095,County,Solano County,,High School,Nearly All Students,2011_2013,Percent,5.6
06095,County,Solano County,,High School,Most Students,2011_2013,Percent,47.9
06095,County,Solano County,,High School,Some Students,2011_2013,Percent,40.5
06095,County,Solano County,,High School,Few Students,2011_2013,Percent,5.6
06095,County,Solano County,,High School,Almost No Students,2011_2013,Percent,0.3
06095,County,Solano County,,High School,Nearly All Students,2013_2015,Percent,4.2
06095,County,Solano County,,High School,Most Students,2013_2015,Percent,50.8
06095,County,Solano County,,High School,Some Students,2013_2015,Percent,40.7
06095,County,Solano County,,High School,Few Students,2013_2015,Percent,3.7
06095,County,Solano County,,High School,Almost No Students,2013_2015,Percent,0.5
06691122,School District,Solano County Office of Education,Solano County,High School,Nearly All Students,2013_2015,Percent,N_A
06691122,School District,Solano County Office of Education,Solano County,High School,Most Students,2013_2015,Percent,N_A
06691122,School District,Solano County Office of Education,Solano County,High School,Some Students,2013_2015,Percent,N_A
06691122,School District,Solano County Office of Education,Solano County,High School,Few Students,2013_2015,Percent,N_A
06691122,School District,Solano County Office of Education,Solano County,High School,Almost No Students,2013_2015,Percent,N_A
06604620,School District,Benicia Unified,Solano County,High School,Nearly All Students,2011_2013,Percent,9.5
06604620,School District,Benicia Unified,Solano County,High School,Most Students,2011_2013,Percent,42.9
06604620,School District,Benicia Unified,Solano County,High School,Some Students,2011_2013,Percent,42.9
